group1,refl-gr,refl-ngr,tr-gr,tr-ngr
probudit,Dědeček se probudil v devět hodin,Dědeček probudil v devět hodin,Dědeček probudil vnuka v devět hodin,Dědeček se probudil vnuka v devět hodin
zbavit,Psycholog se zbavil přebytečného stresu,Psycholog zbavil přebytečného stresu,Psycholog zbavil klienta přebytečného stresu,Psycholog se zbavil klienta přebytečného stresu
zaměřit,Úředník se zaměřil na svou práci,Úředník zaměřil na svou práci,Úředník zaměřil pozornost na svou práci,Úředník se zaměřil pozornost na svou práci
vypravit,Dispečer se vypravil do Prahy,Dispečer vypravil do Prahy,Dispečer vypravil vlak do Prahy,Dispečer se vypravil vlak do Prahy
rozesmát,Herec se rozesmál až na konci představení,Herec rozesmál až na konci představení,Herec rozesmál publikum až na konci představení,Herec se rozesmál publikum až na konci představení
přestěhovat,Tatínek se přestěhoval z bytu,Tatínek přestěhoval z bytu,Tatínek přestěhoval nábytek z bytu (do chalupy),Tatínek se přestěhoval nábytek z bytu (do chalupy)
omluvit,Učitel se omluvil na hodině,Učitel omluvil na hodině,Učitel omluvil nepřítomnost (studenta) na hodině,Učitel se omluvil nepřítomnost (studenta) na hodině
naklonit,Kuchař se naklonil nad umyvadlo,Kuchař naklonil nad umyvadlo,Kuchař naklonil hrnec nad umyvadlo,Kuchař se naklonil hrnec nad umyvadlo
zapsat,Petr se zapsal do sešitu,Petr zapsal do sešitu,Petr zapsal datum do sešitu,Petr se zapsal datum do sešitu
vzbudit,Maminka se vzbudila brzo ráno,Maminka vzbudila brzo ráno,Maminka vzbudila dceru brzo ráno,Maminka se vzbudila dceru brzo ráno
trápit,Tchýně se trápila hladem,Tchýně trápila hladem,Tchýně trápila rodinu hladem,Tchýně se trápila rodinu hladem
ponořit,Plavec se ponořil pod vodu,Plavec ponořil pod vodu,Plavec ponořil hlavu pod vodu,Plavec se ponořil hlavu pod vodu
stáhnout,Trenér se stáhnul z hřiště,Trenér stáhnul z hřiště,Trenér stáhnul fotbalistu z hřiště,Trenér se stáhnul fotbalistu z hřiště
prezentovat,Výrobce se prezentoval jako lepší alternativa,Výrobce prezentoval jako lepší alternativa,Výrobce prezentoval produkt jako lepší alternativu,Výrobce se prezentoval produkt jako lepší alternativu
ohlásit,Sekretářka se ohlásila v telefonu,Sekretářka ohlásila v telefonu,Sekretářka ohlásila příchod (návštěvy) v telefonu,Sekretářka se ohlásila příchod (návštěvy) v telefonu
hájit,Podnikatel se hájil před soudem,Podnikatel hájil před soudem,Podnikatel hájil svůj postup před soudem,Podnikatel se hájil svůj postup před soudem
,,,,
group2,refl-gr,refl-ngr,tr-gr,tr-ngr
probudit,Lucie se vzbudila až po snídani,Lucie vzbudila až po snídani,Lucie vzbudila Moniku až po snídani,Lucie se vzbudila Moniku až po snídani
zbavit,Lékař se zbavil závislosti od alkoholu,Lékař zbavil závislosti od alkoholu,Lékař zbavil pacienta závislosti od alkoholu,Lékař se zbavil pacienta závislosti od alkoholu
zaměřit,Vědci se zaměřili na výzkum spánku,Vědci zaměřili na výzkum spánku,Vědci zaměřili své úsilí na výzkum spánku,Vědci se zaměřili své úsilí na výzkum spánku
vypravit,Ondřej se vypravil do školy,Ondřej vypravil do školy,Ondřej vypravil děti do školy,Ondřej se vypravil děti do školy
rozesmát,Moderátor se rozesmál na jevišti,Moderátor rozesmál na jevišti,Moderátor rozesmál účinkující na jevišti,Moderátor se rozesmál účinkující na jevišti
přestěhovat,Strýček se přestěhoval z Polska,Strýček přestěhoval z Polska,Strýček přestěhoval svou rodinu z Polska,Strýček se přestěhoval svou rodinu z Polska
omluvit,Vedoucí se omluvil na schůzce,Vedoucí omluvil na schůzce,Vedoucí omluvil neúčast zaměstnance na schůzce,Vedoucí se omluvil neúčast zaměstnance na schůzce
naklonit,Pavel se naklonil ke straně,Pavel naklonil ke straně,Pavel naklonil hlavu ke straně,Pavel se naklonil hlavu ke straně
zapsat,Vrátník se zapsal do kalendáře,Vrátník zapsal do kalendáře,Vrátník zapsal datum do kalendáře,Vrátník se zapsal datum do kalendáře
vzbudit,Tomáš se vzbudil příliš pozdě,Tomáš vzbudil příliš pozdě,Tomáš vzbudil sousedy příliš pozdě,Tomáš se vzbudil sousedy příliš pozdě
trápit,Starosta se trápil svým znovuzvolením,Starosta trápil svým znovuzvolením,Starosta trápil obyvatele svým znovuzvolením,Starosta se trápil obyvatele svým znovuzvolením
ponořit,Delfín se ponořil pod hladinu,Delfín ponořil pod hladinu,Delfín ponořil ocas pod hladinu,Delfín se ponořil ocas pod hladinu
stáhnout,Agentura se stáhla z trhu,Agentura stáhla z trhu,Agentura stáhla léky z trhu,Agentura se stáhla léky z trhu
prezentovat,Tým se prezentoval jako rychlé řešení problému,Tým prezentoval jako rychlé řešení problému,Tým prezentoval projekt jako rychlé řešení problému,Tým se prezentoval projekt jako rychlé řešení problému
ohlásit,Pilot se ohlásil přes vysílačku,Pilot ohlásil přes vysílačku,Pilot ohlásil přílet přes vysílačku,Pilot se ohlásil přílet přes vysílačku
hájit,Předseda se hájil před komisí,Předseda hájil před komisí,Předseda hájil zájmy zaměstnanců před komisí,Předseda se hájil zájmy zaměstnanců před komisí
