Sentence,Answer,Group,Item,ArgumentVariation,Transitive,Grammatical
"Předseda hájil zaměstnance před komisí",TRUE,B,25_TG,hájit-2,TRUE,TRUE
"Předseda se hájil zaměstnance před komisí",FALSE,C,25_TA,hájit-2,TRUE,FALSE
"Předseda se hájil před komisí",TRUE,D,25_RG,hájit-2,FALSE,TRUE
"Předseda hájil před komisí",FALSE,A,25_RA,hájit-2,FALSE,FALSE
"Soudce naklonil hlavu ke straně",TRUE,C,18_TG,naklonit-2,TRUE,TRUE
"Soudce se naklonil hlavu ke straně",FALSE,D,18_TA,naklonit-2,TRUE,FALSE
"Soudce se naklonil ke straně",TRUE,A,18_RG,naklonit-2,FALSE,TRUE
"Soudce naklonil ke straně",FALSE,B,18_RA,naklonit-2,FALSE,FALSE
"Průvodce oddělil turisty od davu",TRUE,D,27_TG,oddělit-2,TRUE,TRUE
"Průvodce se oddělil turisty od davu",FALSE,A,27_TA,oddělit-2,TRUE,FALSE
"Průvodce se oddělil od davu",TRUE,B,27_RG,oddělit-2,FALSE,TRUE
"Průvodce oddělil od davu",FALSE,C,27_RA,oddělit-2,FALSE,FALSE
"Pilot ohlásil přílet přes vysílačku",TRUE,A,26_TG,ohlásit-2,TRUE,TRUE
"Pilot se ohlásil přílet přes vysílačku",FALSE,B,26_TA,ohlásit-2,TRUE,FALSE
"Pilot se ohlásil přes vysílačku",TRUE,C,26_RG,ohlásit-2,FALSE,TRUE
"Pilot ohlásil přes vysílačku",FALSE,D,26_RA,ohlásit-2,FALSE,FALSE
"Sportovec ponořil obličej pod hladinu",TRUE,B,17_TG,ponořit-2,TRUE,TRUE
"Sportovec se ponořil obličej pod hladinu",FALSE,C,17_TA,ponořit-2,TRUE,FALSE
"Sportovec se ponořil pod hladinu",TRUE,D,17_RG,ponořit-2,FALSE,TRUE
"Sportovec ponořil pod hladinu",FALSE,A,17_RA,ponořit-2,FALSE,FALSE
"Opilec probudil kamaráda na konečné",TRUE,C,24_TG,probudit-2,TRUE,TRUE
"Opilec se probudil kamaráda na konečné",FALSE,D,24_TA,probudit-2,TRUE,FALSE
"Opilec se probudil na konečné",TRUE,A,24_RG,probudit-2,FALSE,TRUE
"Opilec probudil na konečné",FALSE,B,24_RA,probudit-2,FALSE,FALSE
"Ředitel přestěhoval rodinu do Polska",TRUE,D,19_TG,přestěhovat-2,TRUE,TRUE
"Ředitel se přestěhoval rodinu do Polska",FALSE,A,19_TA,přestěhovat-2,TRUE,FALSE
"Ředitel se přestěhoval do Polska",TRUE,B,19_RG,přestěhovat-2,FALSE,TRUE
"Ředitel přestěhoval do Polska",FALSE,C,19_RA,přestěhovat-2,FALSE,FALSE
"Moderátor rozesmál účinkující na jevišti",TRUE,A,20_TG,rozesmát-2,TRUE,TRUE
"Moderátor se rozesmál účinkující na jevišti",FALSE,B,20_TA,rozesmát-2,TRUE,FALSE
"Moderátor se rozesmál na jevišti",TRUE,C,20_RG,rozesmát-2,FALSE,TRUE
"Moderátor rozesmál na jevišti",FALSE,D,20_RA,rozesmát-2,FALSE,FALSE
"Kancléř spojil prezidenta s ministrem",TRUE,B,32_TG,spojit-2,TRUE,TRUE
"Kancléř se spojil prezidenta s ministrem",FALSE,C,32_TA,spojit-2,TRUE,FALSE
"Kancléř se spojil s ministrem",TRUE,D,32_RG,spojit-2,FALSE,TRUE
"Kančléř spojil se zahraničím",FALSE,A,32_RA,spojit-2,FALSE,FALSE
"Výrobce stáhl léky z trhu",TRUE,C,28_TG,stáhnout-2,TRUE,TRUE
"Výrobce se stáhl léky z trhu",FALSE,D,28_TA,stáhnout-2,TRUE,FALSE
"Výrobce se stáhl z trhu",TRUE,A,28_RG,stáhnout-2,FALSE,TRUE
"Výrobce stáhl z trhu",FALSE,B,28_RA,stáhnout-2,FALSE,FALSE
"Starosta trápil obyvatele nerozhodností",TRUE,D,29_TG,trápit-2,TRUE,TRUE
"Starosta se trápil obyvatele nerozhodností",FALSE,A,29_TA,trápit-2,TRUE,FALSE
"Starosta se trápil nerozhodností",TRUE,B,29_RG,trápit-2,FALSE,TRUE
"Starosta trápil nerozhodností",FALSE,C,29_RA,trápit-2,FALSE,FALSE
"Strýček vypravil děti do školy",TRUE,A,21_TG,vypravit-2,TRUE,TRUE
"Strýček se vypravil děti do školy",FALSE,B,21_TA,vypravit-2,TRUE,FALSE
"Strýček se vypravil do školy",TRUE,C,21_RG,vypravit-2,FALSE,TRUE
"Strýček vypravil do školy",FALSE,D,21_RA,vypravit-2,FALSE,FALSE
"Tatínek vzbudil sousedy pozdě",TRUE,B,30_TG,vzbudit-2,TRUE,TRUE
"Tatínek se vzbudil sousedy pozdě",FALSE,C,30_TA,vzbudit-2,TRUE,FALSE
"Tatínek se vzbudil pozdě",TRUE,D,30_RG,vzbudit-2,FALSE,TRUE
"Tatínek vzbudil pozdě",FALSE,A,30_RA,vzbudit-2,FALSE,FALSE
"Vědec zaměřil úsilí na výzkum ",TRUE,C,22_TG,zaměřit-2,TRUE,TRUE
"Vědec se zaměřil úsilí na výzkum ",FALSE,D,22_TA,zaměřit-2,TRUE,FALSE
"Vědec se zaměřil na výzkum ",TRUE,A,22_RG,zaměřit-2,FALSE,TRUE
"Vědec zaměřil na výzkum ",FALSE,B,22_RA,zaměřit-2,FALSE,FALSE
"Vrátný zapsal návštěvu u vchodu",TRUE,D,31_TG,zapsat-2,TRUE,TRUE
"Vrátný se zapsal návštěvu u vchodu",FALSE,A,31_TA,zapsat-2,TRUE,FALSE
"Vrátný se zapsal u vchodu",TRUE,B,31_RG,zapsat-2,FALSE,TRUE
"Vrátný zapsal u vchodu",FALSE,C,31_RA,zapsat-2,FALSE,FALSE
"Lékař zbavil pacienta závislosti ",TRUE,A,23_TG,zbavit-2,TRUE,TRUE
"Lékař se zbavil pacienta závislosti ",FALSE,B,23_TA,zbavit-2,TRUE,FALSE
"Lékař se zbavil závislosti ",TRUE,C,23_RG,zbavit-2,FALSE,TRUE
"Lékař zbavil závislosti ",FALSE,D,23_RA,zbavit-2,FALSE,FALSE
